"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"56","g96",1559,7267,-2.2207389782865,-2.2207389782865,0,0,0,TRUE
"57","g99",63114,28346,1.15481489457094,1.15481489457094,0,0,0,TRUE
"58","g100",34800,32488,0.0991803736991272,0.0991803736991272,0,0,0,TRUE
"59","g101",1099,228,2.26908565678449,2.26908565678449,0,0,0,TRUE
"60","g103",1052,2026,-0.945499469508835,-0.945499469508835,0,0,0,TRUE
"61","g104",2125,3087,-0.538742641702699,-0.538742641702699,0,0,0,TRUE
"62","g105",35383,72949,-1.04383182726872,-1.04383182726872,0,0,0,TRUE
"63","g106",34381,21414,0.683057200191511,0.683057200191511,0,0,0,TRUE
"64","g107",886,3547,-2.00122072638017,-2.00122072638017,0,0,0,TRUE
"65","g108",1045,2483,-1.2485813192086,-1.2485813192086,0,0,0,TRUE
"66","g110",109,311,-1.51258644535368,-1.51258644535368,0,0,0,TRUE
"67","g112",4371,9706,-1.15091348197853,-1.15091348197853,0,0,0,TRUE
"68","g114",659,237,1.47539140610979,1.47539140610979,0,0,0,TRUE
"69","g116",1659,1179,0.492750167976101,0.492750167976101,0,0,0,TRUE
"70","g117",4463,8448,-0.920596028106599,-0.920596028106599,0,0,0,TRUE
"71","g118",17675,20864,-0.239305559646954,-0.239305559646954,0,0,0,TRUE
"72","g119",406,169,1.26445648090299,1.26445648090299,0,0,0,TRUE
"73","g120",3467,1616,1.10126063845104,1.10126063845104,0,0,0,TRUE
"74","g121",12245,15211,-0.312922227787546,-0.312922227787546,0,0,0,TRUE
"75","g122",59,840,-3.83160246830428,-3.83160246830428,0,0,0,TRUE
"76","g123",739,368,1.00586859808914,1.00586859808914,0,0,0,TRUE
"77","g126",390,1336,-1.77637397872444,-1.77637397872444,0,0,0,TRUE
"78","g128",40,332,-3.05311133645956,-3.05311133645956,0,0,0,TRUE
"79","g130",367,80,2.19770815795585,2.19770815795585,0,0,0,TRUE
"80","g133",41404,33391,0.310310851663706,0.310310851663706,0,0,0,TRUE
"81","g134",984,4345,-2.14262595636252,-2.14262595636252,0,0,0,TRUE
"82","g135",11866,13451,-0.180879744455874,-0.180879744455874,0,0,0,TRUE
"83","g137",121625,146246,-0.265957360824139,-0.265957360824139,0,0,0,TRUE
"84","g139",247,51,2.27594188961318,2.27594188961318,0,0,0,TRUE
"85","g140",6117,4283,0.51420259884671,0.51420259884671,0,0,0,TRUE
"86","g141",1674,958,0.805201966814163,0.805201966814163,0,0,0,TRUE
"87","g142",966,1371,-0.505133476943453,-0.505133476943453,0,0,0,TRUE
"88","g143",12,208,-4.11547721741994,-4.11547721741994,0,0,0,TRUE
"89","g145",18743,25032,-0.417421674796397,-0.417421674796397,0,0,0,TRUE
"90","g146",4977,2769,0.84591133331009,0.84591133331009,0,0,0,TRUE
"91","g149",2525,1681,0.586963663290351,0.586963663290351,0,0,0,TRUE
"92","g150",122,1245,-3.35119268939256,-3.35119268939256,0,0,0,TRUE
"93","g152",5815,7461,-0.359589816577483,-0.359589816577483,0,0,0,TRUE
"94","g156",5127,9816,-0.937020351265609,-0.937020351265609,0,0,0,TRUE
"95","g159",9210,12925,-0.488891219110961,-0.488891219110961,0,0,0,TRUE
"96","g161",26515,30442,-0.19925439667346,-0.19925439667346,0,0,0,TRUE
"97","g162",44,406,-3.20590429854788,-3.20590429854788,0,0,0,TRUE
"98","g164",18,129,-2.84130225398094,-2.84130225398094,0,0,0,TRUE
"99","g166",38364,67076,-0.806043508058155,-0.806043508058155,0,0,0,TRUE
"100","g167",21137,24275,-0.199700667847869,-0.199700667847869,0,0,0,TRUE
"101","g168",7472,2369,1.65721625646943,1.65721625646943,0,0,0,TRUE
"102","g169",21869,14316,0.611258803159432,0.611258803159432,0,0,0,TRUE
"103","g170",11015,14351,-0.381681774599107,-0.381681774599107,0,0,0,TRUE
"104","g172",426,152,1.48678210678225,1.48678210678225,0,0,0,TRUE
"105","g173",22070,14257,0.630416192047152,0.630416192047152,0,0,0,TRUE
"106","g174",27065,9487,1.51240453577455,1.51240453577455,0,0,0,TRUE
"107","g175",903,2775,-1.61968987864397,-1.61968987864397,0,0,0,TRUE
"108","g179",404,925,-1.19509807265188,-1.19509807265188,0,0,0,TRUE
"109","g180",643,2595,-2.0128438959173,-2.0128438959173,0,0,0,TRUE
"110","g181",1105,2473,-1.16221587011114,-1.16221587011114,0,0,0,TRUE
"111","g183",3408,6273,-0.880230227084898,-0.880230227084898,0,0,0,TRUE
"112","g185",1257,4980,-1.98616109253494,-1.98616109253494,0,0,0,TRUE
"113","g190",10970,5508,0.993963061155592,0.993963061155592,0,0,0,TRUE
"114","g191",235,567,-1.27068797837723,-1.27068797837723,0,0,0,TRUE
"115","g194",5123,6575,-0.360002002612463,-0.360002002612463,0,0,0,TRUE
"116","g196",1270,1785,-0.491095577256933,-0.491095577256933,0,0,0,TRUE
"117","g197",754,442,0.770518153877232,0.770518153877232,0,0,0,TRUE
"118","g199",12725,20710,-0.702661897257453,-0.702661897257453,0,0,0,TRUE
