V1 V2 V3 V4 V5 V6 V7 V8 V9
GeneNames value1 value2 log2(Fold_change) "log2(Fold_change) normalized" p-value "q-value(Benjamini et al. 1995)" "q-value(Storey et al. 2003)" "Signature(q-value(Benjamini et al. 1995) < 0.005)"
g604 372 372 0 0 1 1 1 FALSE
g605 1299 1299 0 0 1 1 1 FALSE
g606 8 8 0 0 1 1 1 FALSE
g607 2090 2090 0 0 1 1 1 FALSE
g608 102 102 0 0 1 1 1 FALSE
g609 14 14 0 0 1 1 1 FALSE
g610 75 75 0 0 1 1 1 FALSE
g611 18 18 0 0 1 1 1 FALSE
g612 4 4 0 0 1 1 1 FALSE
g613 12584 12584 0 0 1 1 1 FALSE
g614 330 330 0 0 1 1 1 FALSE
g615 432 432 0 0 1 1 1 FALSE
g616 7620 7620 0 0 1 1 1 FALSE
g617 10 10 0 0 1 1 1 FALSE
g618 1988 1988 0 0 1 1 1 FALSE
g619 1356 1356 0 0 1 1 1 FALSE
g620 82 82 0 0 1 1 1 FALSE
