"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"2397","g4296",4656,6263,-0.427762820696488,-0.427762820696488,0,0,0,TRUE
"2398","g4298",32,171,-2.4178525148859,-2.4178525148859,0,0,0,TRUE
"2399","g4301",1109,2292,-1.0473476785952,-1.0473476785952,0,0,0,TRUE
"2400","g4303",3059,2164,0.499359607731387,0.499359607731387,0,0,0,TRUE
"2401","g4304",185,886,-2.25978142803871,-2.25978142803871,0,0,0,TRUE
"2402","g4309",5871,2202,1.41479178778359,1.41479178778359,0,0,0,TRUE
"2403","g4310",1047,3772,-1.84906823374429,-1.84906823374429,0,0,0,TRUE
"2404","g4312",452,1001,-1.1470472964208,-1.1470472964208,0,0,0,TRUE
"2405","g4313",2720,3937,-0.533490061021338,-0.533490061021338,0,0,0,TRUE
"2406","g4320",1598,684,1.22419917804208,1.22419917804208,0,0,0,TRUE
"2407","g4322",1395,2062,-0.563779210651559,-0.563779210651559,0,0,0,TRUE
"2408","g4323",51179,56549,-0.143949553687619,-0.143949553687619,0,0,0,TRUE
"2409","g4324",4204,6901,-0.715042763678813,-0.715042763678813,0,0,0,TRUE
"2410","g4325",10237,14468,-0.499072514257023,-0.499072514257023,0,0,0,TRUE
"2411","g4326",1318,3359,-1.34968142522645,-1.34968142522645,0,0,0,TRUE
"2412","g4328",952,1481,-0.637538161980904,-0.637538161980904,0,0,0,TRUE
"2413","g4329",7544,18810,-1.31809826773546,-1.31809826773546,0,0,0,TRUE
"2414","g4331",66,229,-1.79480966873849,-1.79480966873849,0,0,0,TRUE
"2415","g4332",173,657,-1.92512133268561,-1.92512133268561,0,0,0,TRUE
"2416","g4333",929,2914,-1.64925037568186,-1.64925037568186,0,0,0,TRUE
"2417","g4334",1188,1654,-0.477424398370509,-0.477424398370509,0,0,0,TRUE
"2418","g4340",3802,4875,-0.358643686875784,-0.358643686875784,0,0,0,TRUE
"2419","g4343",11808,19198,-0.701191395874394,-0.701191395874394,0,0,0,TRUE
"2420","g4344",2006,5243,-1.38607093990417,-1.38607093990417,0,0,0,TRUE
"2421","g4345",59,1,5.88264304936184,5.88264304936184,0,0,0,TRUE
"2422","g4346",7586,11684,-0.623122986534941,-0.623122986534941,0,0,0,TRUE
"2423","g4348",3599,5259,-0.547192394555967,-0.547192394555967,0,0,0,TRUE
"2424","g4350",725,1463,-1.01287686923619,-1.01287686923619,0,0,0,TRUE
"2425","g4351",913,1385,-0.601199210952329,-0.601199210952329,0,0,0,TRUE
"2426","g4352",26660,16250,0.714237062285795,0.714237062285795,0,0,0,TRUE
"2427","g4354",3036,8046,-1.40609994721016,-1.40609994721016,0,0,0,TRUE
"2428","g4355",17276,30627,-0.8260348362003,-0.8260348362003,0,0,0,TRUE
"2429","g4356",773,1313,-0.764326596968038,-0.764326596968038,0,0,0,TRUE
"2430","g4357",1588,658,1.27105142340772,1.27105142340772,0,0,0,TRUE
"2431","g4359",10730,13244,-0.303688839753116,-0.303688839753116,0,0,0,TRUE
"2432","g4360",1608,2651,-0.721269263688331,-0.721269263688331,0,0,0,TRUE
"2433","g4364",11487,16676,-0.537771211237072,-0.537771211237072,0,0,0,TRUE
"2434","g4365",11662,16853,-0.531190200321497,-0.531190200321497,0,0,0,TRUE
"2435","g4366",1719,2362,-0.458439419919095,-0.458439419919095,0,0,0,TRUE
"2436","g4368",770,144,2.41878963413995,2.41878963413995,0,0,0,TRUE
"2437","g4369",2404,10452,-2.12027022860883,-2.12027022860883,0,0,0,TRUE
"2438","g4371",8629,5868,0.556324506627762,0.556324506627762,0,0,0,TRUE
"2439","g4372",2505,4909,-0.970618563283477,-0.970618563283477,0,0,0,TRUE
"2440","g4374",4383,13843,-1.65916604802444,-1.65916604802444,0,0,0,TRUE
"2441","g4375",2234,1131,0.982030256493495,0.982030256493495,0,0,0,TRUE
"2442","g4376",8311,11813,-0.507281413323277,-0.507281413323277,0,0,0,TRUE
"2443","g4378",3042,2201,0.466861007832939,0.466861007832939,0,0,0,TRUE
"2444","g4379",2747,5257,-0.93638282449602,-0.93638282449602,0,0,0,TRUE
"2445","g4382",4414,7375,-0.740556419744314,-0.740556419744314,0,0,0,TRUE
"2446","g4383",158,379,-1.26227328999399,-1.26227328999399,0,0,0,TRUE
"2447","g4385",29013,32694,-0.172326416057247,-0.172326416057247,0,0,0,TRUE
"2448","g4386",691,2652,-1.94032315972433,-1.94032315972433,0,0,0,TRUE
"2449","g4387",824,1521,-0.884303910541279,-0.884303910541279,0,0,0,TRUE
"2450","g4388",4568,3341,0.451282668027874,0.451282668027874,0,0,0,TRUE
"2451","g4392",1856,2589,-0.480198254772539,-0.480198254772539,0,0,0,TRUE
"2452","g4393",116,427,-1.88011126449292,-1.88011126449292,0,0,0,TRUE
"2453","g4394",4437,6815,-0.619129103872348,-0.619129103872348,0,0,0,TRUE
"2454","g4395",878,1325,-0.593699514802566,-0.593699514802566,0,0,0,TRUE
"2455","g4396",4487,3295,0.44547271878093,0.44547271878093,0,0,0,TRUE
"2456","g4399",16770,33729,-1.00810685695371,-1.00810685695371,0,0,0,TRUE
"2457","g4401",21491,34138,-0.667645924961025,-0.667645924961025,0,0,0,TRUE
"2458","g4402",4428,9659,-1.12521861189814,-1.12521861189814,0,0,0,TRUE
"2459","g4407",10,204,-4.35049724708413,-4.35049724708413,0,0,0,TRUE
"2460","g4408",7955,14102,-0.825965950037627,-0.825965950037627,0,0,0,TRUE
"2461","g4410",55510,64778,-0.222756232973955,-0.222756232973955,0,0,0,TRUE
"2462","g4411",2348,7619,-1.69816924678845,-1.69816924678845,0,0,0,TRUE
"2463","g4413",2825,2056,0.458410602996034,0.458410602996034,0,0,0,TRUE
"2464","g4415",17921,30924,-0.787075800346267,-0.787075800346267,0,0,0,TRUE
