"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g79	71	75	-0.0790715709911982	-0.0790715709911982	0.740596847542202	0.75636665423277	0.0618685315628071	FALSE
g5185	769	782	-0.0241850093455263	-0.0241850093455263	0.741327578145504	0.75705324004292	0.0619246922298965	FALSE
g11580	43	40	0.104336659814735	0.104336659814735	0.741907293808374	0.75758551134036	0.0619682304310868	FALSE
g8820	72	76	-0.0780025120012731	-0.0780025120012731	0.74229326119835	0.757889993496955	0.0619906924080134	FALSE
g11070	76	72	0.0780025120012731	0.0780025120012731	0.74229326119835	0.757889993496955	0.0619906924080134	FALSE
g12643	471	461	0.0309603091834454	0.0309603091834454	0.743241319738778	0.758768237336789	0.0620649738824682	FALSE
g2504	478	468	0.030502088397343	0.030502088397343	0.745081873280659	0.760587281963151	0.0622137662958439	FALSE
g10948	311	303	0.0375967866576516	0.0375967866576516	0.746802563841429	0.762283692105817	0.0623525275750035	FALSE
g8868	4139	4110	0.010143854661246	0.010143854661246	0.74949965990791	0.764976402569942	0.0625727832425517	FALSE
g2116	7873	7833	0.00734851985275853	0.00734851985275853	0.749594614503832	0.765013023707512	0.0625757787421456	FALSE
g9695	497	487	0.0293240794799452	0.0293240794799452	0.749884927390907	0.765248999977324	0.0625950808956914	FALSE
g9238	46	43	0.0972972013549152	0.0972972013549152	0.750462570528489	0.765778133192336	0.0626383624111187	FALSE
g2559	122	127	-0.0579473492092788	-0.0579473492092788	0.751340141565637	0.766613207790341	0.0627066690172268	FALSE
g8471	44	47	-0.0951572330403403	-0.0951572330403403	0.753130727108122	0.768349384807199	0.0628462075806905	FALSE
g11806	47	44	0.0951572330403403	0.0951572330403403	0.753130727108122	0.768349384807199	0.0628462075806905	FALSE
g1709	321	329	-0.0355142866129388	-0.0355142866129388	0.753680708962751	0.768819628284177	0.062887147618709	FALSE
g9955	1650	1668	-0.0156532643114851	-0.0156532643114851	0.754668568821224	0.769766695513142	0.0629646148872876	FALSE
g10576	2069	2049	0.0140136608487627	0.0140136608487627	0.755295323800404	0.770345313319307	0.0630119440943635	FALSE
g7646	184	190	-0.0462936522739348	-0.0462936522739348	0.756363802638972	0.771374330144486	0.063096114594968	FALSE
g1382	417	426	-0.0308060467811746	-0.0308060467811746	0.756576614103237	0.771530604979677	0.0631088974093866	FALSE
g3153	20	22	-0.137503523749935	-0.137503523749935	0.757576322542551	0.77248924227764	0.0631873110750267	FALSE
